1;Final do Campeonato Municipal;Estádio Municipal;ESPORTIVO;2024-07-20 16:00;Final do campeonato de futebol amador da cidade
2;Show da Banda RockStars;Arena Multishow;SHOW;2024-08-15 21:30;Show de rock com as melhores bandas covers dos anos 90
3;Feira do Livro;Praça da Matriz;CULTURAL;2024-07-05 10:00;Feira com livros, contação de histórias e encontro com autores
4;Workshop de Fotografia;Espaço Cultural;OUTROS;2024-07-12 14:30;Workshop básico de fotografia para iniciantes
5;Festival de Pratos Típicos;Parque de Exposições;GASTRONOMICO;2024-08-05 18:00;Festival com comidas típicas de várias regiões
6;Torneio de Skate;Pista Municipal;ESPORTIVO;2024-07-27 09:00;Torneio de skate amador com premiação
7;Concerto Sinfônico;Teatro Municipal;CULTURAL;2024-08-20 20:00;Apresentação da orquestra sinfônica com peças clássicas
8;Show de Humor;Teatro Municipal;SHOW;2024-07-30 20:30;Show de stand-up comedy com humoristas locais
9;Feira de Adoção de Pets;Praça Central;OUTROS;2024-08-10 14:00;Feira para adoção de cães e gatos resgatados
10;Torneio de Xadrez;Clube Municipal;ESPORTIVO;2024-08-25 09:00;Torneio aberto de xadrez para todas as idades
